registered_postcode,mean_age,total_vehicles
3802,12.18,15732
3803,11.84,8176
3804,12.18,6065
3805,11.69,36408
3806,10.28,36097
3807,11.16,5074
3808,12.48,2033
3809,9.84,15278
3810,11.59,35885
3812,14.55,1631
3813,14.7,678
3814,13.21,1679
3815,13.05,2351
3816,13.57,2132
3818,12.38,11934
3820,11.9,14457
3821,13.64,1972
3822,13.94,659
3823,12.75,1495
3824,12.91,3497
3825,14.26,14003
3831,14.0,1345
3832,14.64,166
3833,16.82,286
3835,16.57,329
3840,13.56,11631
3842,13.73,3146
3844,12.11,21466
3847,13.59,1427
3850,12.51,9577
3851,13.81,3684
3854,12.91,888
3856,13.5,700
3857,14.51,270
3858,15.15,2139
3859,15.42,550
3860,14.01,4779
3862,13.78,2354
3864,13.36,160
3865,16.36,329
3869,13.53,1280
3870,15.25,927
3871,13.92,1919
3873,14.59,256
3874,15.85,392
3875,13.36,13378
3878,13.83,1016
3880,13.58,3414
3882,14.56,899
3885,15.71,1164
3886,13.35,202
3887,15.43,243
3888,14.58,2120
3889,13.05,130
3890,15.3,191
3892,15.76,737
3895,14.98,123
3896,15.48,251
3898,13.96,440
3900,17.36,106
3902,12.75,320
3903,13.07,650
3904,13.4,1391
3909,13.91,5530
3910,11.58,14538
3911,13.32,2413
3912,12.06,10079
3913,12.85,2418
3915,12.7,6625
3916,12.39,803
3918,13.08,2895
3919,13.6,2064
3920,11.87,330
3921,17.85,175
3922,12.6,7564
3923,12.93,613
3925,12.12,3251
3926,11.89,2387
3927,11.46,1359
3928,12.84,428
3929,12.32,1076
3930,10.89,12770
3931,10.69,18427
3933,13.34,763
3934,10.94,13114
3936,11.78,9578
3937,11.54,1183
3938,12.33,2537
3939,12.51,10909
3940,12.84,3203
3941,12.74,9465
3942,11.41,2381
3943,11.31,1913
3944,11.8,996
3945,13.92,652
3946,14.11,202
3950,13.59,3487
3951,15.81,712
3953,12.8,5544
3954,12.72,270
3956,13.73,2125
3957,14.89,203
3958,13.06,190
3959,13.04,890
3960,13.82,1914
3962,15.23,584
3964,14.16,101
3965,13.89,193
3966,14.55,350
3971,14.15,2773
3975,10.61,11077
3976,13.04,15280
3977,11.24,73998
3978,9.83,39689
3979,14.02,241
3980,13.02,2166
3981,12.63,3305
3984,13.19,5493
3987,14.71,977
3988,14.36,748
3991,16.84,328
3992,12.78,844
3995,13.2,8255
3996,11.16,4731
4000,6.37,25186
4001,5.53,1186
4005,10.43,10173
4006,8.72,17940
4007,10.15,11390
4008,2.44,22070
4009,6.53,5895
4010,10.58,3187
4011,9.12,12740
4012,10.66,14692
4013,11.5,3319
4014,9.88,10607
4017,12.32,22683
4018,10.59,8268
4019,13.32,13147
4020,11.68,17948
4021,13.28,5475
4022,11.92,4496
4025,19.83,151
4030,10.7,11598
4031,9.17,11249
4032,11.15,10908
4034,11.41,29708
4035,10.67,18452
4036,12.17,4236
4037,11.38,4983
4051,10.75,17762
4053,11.27,29652
4054,11.89,8445
4055,11.31,13775
4059,11.09,7192
4060,10.86,8104
4061,11.25,11127
4064,9.86,9364
4065,10.1,6080
4066,10.25,11022
4067,10.72,5260
4068,10.07,15381
4069,11.05,24026
4070,10.95,7757
4073,9.76,6193
4074,11.03,15772
4075,11.05,15630
4076,11.31,4019
4077,12.16,20940
4078,11.24,16014
4101,10.09,18761
4102,10.69,6524
4103,11.97,8481
4104,11.08,4513
4105,10.56,10113
4106,10.6,2164
4107,9.83,5868
4108,11.69,5870
4109,11.63,24416
4110,10.3,15107
4111,11.75,703
4112,10.49,5194
4113,10.61,19799
4114,14.0,15687
4115,10.78,12894
4116,10.26,17364
4117,10.67,1696
4118,12.28,19925
4119,10.12,5824
4120,11.2,6244
4121,11.19,15597
4122,10.93,29140
4123,10.68,15156
4124,12.61,17461
4125,12.79,10801
4127,11.62,19534
4128,12.02,10823
4129,11.73,5030
4130,12.93,5915
4131,12.38,7319
4132,13.3,14689
4133,12.37,17591
4151,10.68,11475
4152,10.29,29935
4153,11.65,3047
4154,10.26,7030
4155,13.0,1166
4156,11.66,2403
4157,12.76,13196
4158,13.25,2411
4159,12.19,9356
4160,11.0,12433
4161,12.97,9879
4163,11.25,11343
4164,11.14,11921
4165,11.79,25006
4169,10.27,10584
4170,10.18,17859
4171,10.2,11005
4172,8.09,5022
4173,11.01,5531
4174,11.67,2280
4178,11.5,17570
4179,11.76,12384
