POA_CODE21,lon,lat
2425,152.00652663597688,-32.44941531927793
2426,152.58459927802684,-31.823463520320686
2427,152.67929700365102,-31.85841997341514
2428,152.4787258895843,-32.25280209888681
2429,152.26949387328747,-31.798926725833883
2430,152.48368340897807,-31.89856647000086
2431,153.0470836808315,-30.916971659846386
2439,152.65233249979758,-31.611566590895453
2440,152.56925768354392,-30.919597243907003
2441,152.69055244537915,-31.236878937796636
2443,152.69840913537348,-31.7313865496149
2444,152.8788257629947,-31.386713254745768
2445,152.8118747189649,-31.578190313281542
2446,152.4355597752699,-31.388160408466426
2447,152.78273853027548,-30.727368962041403
2448,152.9647686590341,-30.598647680213986
2449,152.7158943319677,-30.609912638969217
2450,152.99667514625838,-30.20243614665506
2452,153.08779134665173,-30.35792313343748
2453,152.54415701328804,-30.250964174807923
2454,152.73502744505876,-30.45866524027363
2455,152.99374574846584,-30.51674517531403
2456,153.15412999395846,-30.070150080194615
2460,152.7434516898503,-29.643904958236092
2462,153.12374582909632,-29.678712785489285
2463,153.22142365091952,-29.506828035656426
2464,153.33025765236692,-29.488874439852662
2465,153.24940995645994,-29.411086277114755
2466,153.3574964303552,-29.388033012911794
2469,152.73841954788958,-28.971594502783926
2470,152.96184572074296,-28.87822763023926
2471,153.20726138518447,-29.024143271710948
2472,153.32746553597792,-29.148771778454236
2473,153.41782982000143,-29.11108911162016
2474,152.9172068633543,-28.500900482124454
2475,152.43299748000928,-28.52788150116707
2476,152.44300639252396,-28.41882334528989
2477,153.43713729609755,-28.889577784534726
2478,153.53315885941294,-28.848411943953206
2479,153.51151954689342,-28.70759767484482
2480,153.26178540283382,-28.725994640694832
2481,153.5604083038295,-28.646640924027515
2482,153.4272952764312,-28.546943988318382
2483,153.4952950783497,-28.468423266237192
2484,153.30847971464917,-28.376576520950962
2485,153.51392149831332,-28.181240803659513
2486,153.4732040451174,-28.21524585312081
2487,153.54437929393646,-28.278360534137366
2488,153.5586016434109,-28.333190863680123
2489,153.55836483057374,-28.384836360630267
2490,153.47477803595828,-28.266674916082813
2500,150.8742457467268,-34.41975453741258
2502,150.87577402434755,-34.49155911601155
2505,150.89394746911196,-34.470679319257215
2506,150.8434516880361,-34.48304887915068
