"year_of_manufacture","vehicle_type","motive_power","no_vehicles"
"2007","Passenger vehicles","Battery/Fuel-cell electric",6
"2008","Passenger vehicles","Battery/Fuel-cell electric",9
"2009","Passenger vehicles","Battery/Fuel-cell electric",3
"2010","Passenger vehicles","Battery/Fuel-cell electric",99
"2011","Passenger vehicles","Battery/Fuel-cell electric",82
"2012","Passenger vehicles","Battery/Fuel-cell electric",226
"2013","Passenger vehicles","Battery/Fuel-cell electric",280
"2014","Passenger vehicles","Battery/Fuel-cell electric",444
"2015","Passenger vehicles","Battery/Fuel-cell electric",803
"2016","Passenger vehicles","Battery/Fuel-cell electric",940
"2017","Passenger vehicles","Battery/Fuel-cell electric",1795
"2018","Passenger vehicles","Battery/Fuel-cell electric",1545
"2019","Passenger vehicles","Battery/Fuel-cell electric",5852
"2020","Passenger vehicles","Battery/Fuel-cell electric",5307
"2021","Passenger vehicles","Battery/Fuel-cell electric",19400
"2022","Passenger vehicles","Battery/Fuel-cell electric",48360
"2023","Passenger vehicles","Battery/Fuel-cell electric",105073
"2024","Passenger vehicles","Battery/Fuel-cell electric",59065
"2025","Passenger vehicles","Battery/Fuel-cell electric",5
"Not stated","Passenger vehicles","Battery/Fuel-cell electric",3
"1901","Passenger vehicles","Other",0
"1902","Passenger vehicles","Other",0
"1903","Passenger vehicles","Other",3
"1904","Passenger vehicles","Other",3
"1905","Passenger vehicles","Other",0
"1906","Passenger vehicles","Other",0
"1907","Passenger vehicles","Other",0
"1908","Passenger vehicles","Other",0
"1909","Passenger vehicles","Other",0
"1910","Passenger vehicles","Other",0
"1911","Passenger vehicles","Other",0
"1912","Passenger vehicles","Other",0
"1913","Passenger vehicles","Other",0
"1914","Passenger vehicles","Other",0
"1915","Passenger vehicles","Other",0
"1916","Passenger vehicles","Other",0
"1917","Passenger vehicles","Other",0
"1918","Passenger vehicles","Other",0
"1919","Passenger vehicles","Other",0
"1920","Passenger vehicles","Other",0
"1921","Passenger vehicles","Other",0
"1922","Passenger vehicles","Other",0
"1923","Passenger vehicles","Other",0
"1924","Passenger vehicles","Other",0
"1925","Passenger vehicles","Other",0
"1926","Passenger vehicles","Other",5
"1927","Passenger vehicles","Other",3
"1928","Passenger vehicles","Other",14
"1929","Passenger vehicles","Other",8
"1930","Passenger vehicles","Other",4
"1931","Passenger vehicles","Other",0
"1932","Passenger vehicles","Other",8
"1933","Passenger vehicles","Other",6
"1934","Passenger vehicles","Other",26
"1935","Passenger vehicles","Other",7
"1936","Passenger vehicles","Other",6
"1937","Passenger vehicles","Other",4
"1938","Passenger vehicles","Other",3
"1939","Passenger vehicles","Other",5
"1940","Passenger vehicles","Other",0
"1941","Passenger vehicles","Other",0
"1942","Passenger vehicles","Other",0
"1943","Passenger vehicles","Other",0
"1944","Passenger vehicles","Other",0
"1945","Passenger vehicles","Other",0
"1946","Passenger vehicles","Other",3
"1947","Passenger vehicles","Other",3
"1948","Passenger vehicles","Other",3
"1949","Passenger vehicles","Other",0
"1950","Passenger vehicles","Other",3
"1951","Passenger vehicles","Other",0
"1952","Passenger vehicles","Other",0
"1953","Passenger vehicles","Other",0
"1954","Passenger vehicles","Other",0
"1955","Passenger vehicles","Other",5
"1956","Passenger vehicles","Other",7
"1957","Passenger vehicles","Other",14
"1958","Passenger vehicles","Other",9
"1959","Passenger vehicles","Other",5
"1960","Passenger vehicles","Other",10
"1961","Passenger vehicles","Other",4
"1962","Passenger vehicles","Other",9
"1963","Passenger vehicles","Other",14
"1964","Passenger vehicles","Other",19
"1965","Passenger vehicles","Other",23
"1966","Passenger vehicles","Other",17
"1967","Passenger vehicles","Other",16
"1968","Passenger vehicles","Other",16
"1969","Passenger vehicles","Other",15
"1970","Passenger vehicles","Other",33
"1971","Passenger vehicles","Other",54
"1972","Passenger vehicles","Other",18
"1973","Passenger vehicles","Other",30
"1974","Passenger vehicles","Other",41
"1975","Passenger vehicles","Other",27
"1976","Passenger vehicles","Other",49
"1977","Passenger vehicles","Other",47
"1978","Passenger vehicles","Other",62
"1979","Passenger vehicles","Other",42
"1980","Passenger vehicles","Other",27
"1981","Passenger vehicles","Other",41
"1982","Passenger vehicles","Other",46
"1983","Passenger vehicles","Other",32
"1984","Passenger vehicles","Other",58
"1985","Passenger vehicles","Other",48
"1986","Passenger vehicles","Other",37
"1987","Passenger vehicles","Other",17
"1988","Passenger vehicles","Other",40
"1989","Passenger vehicles","Other",56
"1990","Passenger vehicles","Other",75
"1991","Passenger vehicles","Other",64
"1992","Passenger vehicles","Other",90
"1993","Passenger vehicles","Other",84
"1994","Passenger vehicles","Other",124
"1995","Passenger vehicles","Other",98
"1996","Passenger vehicles","Other",116
"1997","Passenger vehicles","Other",143
"1998","Passenger vehicles","Other",215
"1999","Passenger vehicles","Other",184
"2000","Passenger vehicles","Other",252
"2001","Passenger vehicles","Other",358
"2002","Passenger vehicles","Other",409
"2003","Passenger vehicles","Other",240
"2004","Passenger vehicles","Other",389
"2005","Passenger vehicles","Other",1176
"2006","Passenger vehicles","Other",2126
"2007","Passenger vehicles","Other",2069
"2008","Passenger vehicles","Other",3041
"2009","Passenger vehicles","Other",2810
"2010","Passenger vehicles","Other",2188
"2011","Passenger vehicles","Other",860
"2012","Passenger vehicles","Other",2479
"2013","Passenger vehicles","Other",2314
"2014","Passenger vehicles","Other",1738
"2015","Passenger vehicles","Other",869
"2016","Passenger vehicles","Other",101
"2017","Passenger vehicles","Other",19
"2018","Passenger vehicles","Other",17
"2019","Passenger vehicles","Other",14
"2020","Passenger vehicles","Other",12
"2021","Passenger vehicles","Other",4
"2022","Passenger vehicles","Other",12
"2023","Passenger vehicles","Other",19
"2024","Passenger vehicles","Other",14
"2025","Passenger vehicles","Other",0
"Not stated","Passenger vehicles","Other",0
"1901","Light commercial vehicles","Petrol",0
"1902","Light commercial vehicles","Petrol",0
"1903","Light commercial vehicles","Petrol",0
"1904","Light commercial vehicles","Petrol",0
"1905","Light commercial vehicles","Petrol",0
"1906","Light commercial vehicles","Petrol",0
"1907","Light commercial vehicles","Petrol",0
"1908","Light commercial vehicles","Petrol",0
"1909","Light commercial vehicles","Petrol",0
"1910","Light commercial vehicles","Petrol",0
"1911","Light commercial vehicles","Petrol",0
"1912","Light commercial vehicles","Petrol",0
"1913","Light commercial vehicles","Petrol",3
"1914","Light commercial vehicles","Petrol",3
"1915","Light commercial vehicles","Petrol",6
"1916","Light commercial vehicles","Petrol",3
"1917","Light commercial vehicles","Petrol",3
"1918","Light commercial vehicles","Petrol",3
"1919","Light commercial vehicles","Petrol",5
"1920","Light commercial vehicles","Petrol",6
"1921","Light commercial vehicles","Petrol",3
"1922","Light commercial vehicles","Petrol",8
"1923","Light commercial vehicles","Petrol",71
"1924","Light commercial vehicles","Petrol",43
"1925","Light commercial vehicles","Petrol",46
"1926","Light commercial vehicles","Petrol",76
"1927","Light commercial vehicles","Petrol",96
"1928","Light commercial vehicles","Petrol",281
"1929","Light commercial vehicles","Petrol",122
"1930","Light commercial vehicles","Petrol",57
"1931","Light commercial vehicles","Petrol",26
"1932","Light commercial vehicles","Petrol",92
"1933","Light commercial vehicles","Petrol",36
"1934","Light commercial vehicles","Petrol",110
"1935","Light commercial vehicles","Petrol",68
"1936","Light commercial vehicles","Petrol",87
"1937","Light commercial vehicles","Petrol",118
"1938","Light commercial vehicles","Petrol",94
"1939","Light commercial vehicles","Petrol",73
"1940","Light commercial vehicles","Petrol",96
"1941","Light commercial vehicles","Petrol",85
"1942","Light commercial vehicles","Petrol",322
"1943","Light commercial vehicles","Petrol",90
"1944","Light commercial vehicles","Petrol",98
"1945","Light commercial vehicles","Petrol",32
"1946","Light commercial vehicles","Petrol",174
"1947","Light commercial vehicles","Petrol",141
"1948","Light commercial vehicles","Petrol",320
"1949","Light commercial vehicles","Petrol",188
"1950","Light commercial vehicles","Petrol",256
"1951","Light commercial vehicles","Petrol",270
"1952","Light commercial vehicles","Petrol",307
"1953","Light commercial vehicles","Petrol",450
"1954","Light commercial vehicles","Petrol",577
"1955","Light commercial vehicles","Petrol",651
"1956","Light commercial vehicles","Petrol",694
"1957","Light commercial vehicles","Petrol",423
"1958","Light commercial vehicles","Petrol",470
"1959","Light commercial vehicles","Petrol",463
"1960","Light commercial vehicles","Petrol",412
"1961","Light commercial vehicles","Petrol",410
"1962","Light commercial vehicles","Petrol",505
"1963","Light commercial vehicles","Petrol",660
"1964","Light commercial vehicles","Petrol",1268
"1965","Light commercial vehicles","Petrol",760
"1966","Light commercial vehicles","Petrol",956
"1967","Light commercial vehicles","Petrol",918
"1968","Light commercial vehicles","Petrol",856
"1969","Light commercial vehicles","Petrol",884
"1970","Light commercial vehicles","Petrol",1415
"1971","Light commercial vehicles","Petrol",1769
"1972","Light commercial vehicles","Petrol",1945
"1973","Light commercial vehicles","Petrol",1909
"1974","Light commercial vehicles","Petrol",2617
"1975","Light commercial vehicles","Petrol",2695
"1976","Light commercial vehicles","Petrol",2949
"1977","Light commercial vehicles","Petrol",3079
"1978","Light commercial vehicles","Petrol",3546
"1979","Light commercial vehicles","Petrol",2807
"1980","Light commercial vehicles","Petrol",2246
"1981","Light commercial vehicles","Petrol",2430
"1982","Light commercial vehicles","Petrol",2274
"1983","Light commercial vehicles","Petrol",2057
"1984","Light commercial vehicles","Petrol",3124
"1985","Light commercial vehicles","Petrol",3052
"1986","Light commercial vehicles","Petrol",1965
"1987","Light commercial vehicles","Petrol",1641
"1988","Light commercial vehicles","Petrol",3218
"1989","Light commercial vehicles","Petrol",5120
"1990","Light commercial vehicles","Petrol",5651
"1991","Light commercial vehicles","Petrol",5053
"1992","Light commercial vehicles","Petrol",6595
"1993","Light commercial vehicles","Petrol",6540
"1994","Light commercial vehicles","Petrol",8898
"1995","Light commercial vehicles","Petrol",9984
"1996","Light commercial vehicles","Petrol",11534
"1997","Light commercial vehicles","Petrol",13559
"1998","Light commercial vehicles","Petrol",18359
"1999","Light commercial vehicles","Petrol",21698
"2000","Light commercial vehicles","Petrol",22847
"2001","Light commercial vehicles","Petrol",26398
"2002","Light commercial vehicles","Petrol",32169
"2003","Light commercial vehicles","Petrol",45176
"2004","Light commercial vehicles","Petrol",51595
"2005","Light commercial vehicles","Petrol",56365
"2006","Light commercial vehicles","Petrol",39736
"2007","Light commercial vehicles","Petrol",44454
"2008","Light commercial vehicles","Petrol",44462
"2009","Light commercial vehicles","Petrol",38814
"2010","Light commercial vehicles","Petrol",34769
"2011","Light commercial vehicles","Petrol",26998
"2012","Light commercial vehicles","Petrol",25541
"2013","Light commercial vehicles","Petrol",23083
"2014","Light commercial vehicles","Petrol",19664
"2015","Light commercial vehicles","Petrol",18711
"2016","Light commercial vehicles","Petrol",19694
"2017","Light commercial vehicles","Petrol",15958
"2018","Light commercial vehicles","Petrol",14591
"2019","Light commercial vehicles","Petrol",14562
"2020","Light commercial vehicles","Petrol",16267
"2021","Light commercial vehicles","Petrol",22132
"2022","Light commercial vehicles","Petrol",27473
"2023","Light commercial vehicles","Petrol",29397
"2024","Light commercial vehicles","Petrol",14788
"2025","Light commercial vehicles","Petrol",12
"Not stated","Light commercial vehicles","Petrol",223
"1901","Light commercial vehicles","Diesel",0
"1902","Light commercial vehicles","Diesel",0
"1903","Light commercial vehicles","Diesel",0
"1904","Light commercial vehicles","Diesel",0
"1905","Light commercial vehicles","Diesel",0
"1906","Light commercial vehicles","Diesel",0
"1907","Light commercial vehicles","Diesel",0
"1908","Light commercial vehicles","Diesel",0
"1909","Light commercial vehicles","Diesel",0
"1910","Light commercial vehicles","Diesel",0
"1911","Light commercial vehicles","Diesel",0
"1912","Light commercial vehicles","Diesel",0
"1913","Light commercial vehicles","Diesel",0
"1914","Light commercial vehicles","Diesel",0
"1915","Light commercial vehicles","Diesel",0
"1916","Light commercial vehicles","Diesel",0
"1917","Light commercial vehicles","Diesel",0
"1918","Light commercial vehicles","Diesel",0
"1919","Light commercial vehicles","Diesel",0
"1920","Light commercial vehicles","Diesel",0
"1921","Light commercial vehicles","Diesel",0
"1922","Light commercial vehicles","Diesel",0
"1923","Light commercial vehicles","Diesel",0
"1924","Light commercial vehicles","Diesel",0
"1925","Light commercial vehicles","Diesel",0
"1926","Light commercial vehicles","Diesel",0
"1927","Light commercial vehicles","Diesel",0
"1928","Light commercial vehicles","Diesel",0
"1929","Light commercial vehicles","Diesel",0
"1930","Light commercial vehicles","Diesel",0
"1931","Light commercial vehicles","Diesel",0
"1932","Light commercial vehicles","Diesel",0
"1933","Light commercial vehicles","Diesel",0
"1934","Light commercial vehicles","Diesel",0
"1935","Light commercial vehicles","Diesel",0
"1936","Light commercial vehicles","Diesel",3
"1937","Light commercial vehicles","Diesel",3
"1938","Light commercial vehicles","Diesel",0
"1939","Light commercial vehicles","Diesel",0
"1940","Light commercial vehicles","Diesel",0
"1941","Light commercial vehicles","Diesel",0
"1942","Light commercial vehicles","Diesel",8
"1943","Light commercial vehicles","Diesel",0
"1944","Light commercial vehicles","Diesel",0
"1945","Light commercial vehicles","Diesel",3
"1946","Light commercial vehicles","Diesel",5
"1947","Light commercial vehicles","Diesel",0
"1948","Light commercial vehicles","Diesel",4
"1949","Light commercial vehicles","Diesel",3
"1950","Light commercial vehicles","Diesel",4
"1951","Light commercial vehicles","Diesel",0
"1952","Light commercial vehicles","Diesel",3
"1953","Light commercial vehicles","Diesel",3
"1954","Light commercial vehicles","Diesel",9
"1955","Light commercial vehicles","Diesel",7
"1956","Light commercial vehicles","Diesel",0
"1957","Light commercial vehicles","Diesel",5
"1958","Light commercial vehicles","Diesel",3
"1959","Light commercial vehicles","Diesel",4
"1960","Light commercial vehicles","Diesel",5
"1961","Light commercial vehicles","Diesel",7
"1962","Light commercial vehicles","Diesel",7
"1963","Light commercial vehicles","Diesel",7
"1964","Light commercial vehicles","Diesel",9
"1965","Light commercial vehicles","Diesel",16
"1966","Light commercial vehicles","Diesel",10
"1967","Light commercial vehicles","Diesel",8
"1968","Light commercial vehicles","Diesel",24
"1969","Light commercial vehicles","Diesel",19
"1970","Light commercial vehicles","Diesel",19
"1971","Light commercial vehicles","Diesel",27
"1972","Light commercial vehicles","Diesel",24
"1973","Light commercial vehicles","Diesel",35
"1974","Light commercial vehicles","Diesel",48
"1975","Light commercial vehicles","Diesel",75
"1976","Light commercial vehicles","Diesel",146
"1977","Light commercial vehicles","Diesel",189
"1978","Light commercial vehicles","Diesel",321
"1979","Light commercial vehicles","Diesel",458
"1980","Light commercial vehicles","Diesel",530
"1981","Light commercial vehicles","Diesel",862
"1982","Light commercial vehicles","Diesel",892
"1983","Light commercial vehicles","Diesel",1018
"1984","Light commercial vehicles","Diesel",1929
"1985","Light commercial vehicles","Diesel",2733
"1986","Light commercial vehicles","Diesel",1744
"1987","Light commercial vehicles","Diesel",1716
"1988","Light commercial vehicles","Diesel",3757
"1989","Light commercial vehicles","Diesel",4728
"1990","Light commercial vehicles","Diesel",5542
"1991","Light commercial vehicles","Diesel",4781
"1992","Light commercial vehicles","Diesel",6733
"1993","Light commercial vehicles","Diesel",7860
"1994","Light commercial vehicles","Diesel",9406
"1995","Light commercial vehicles","Diesel",9753
"1996","Light commercial vehicles","Diesel",10719
"1997","Light commercial vehicles","Diesel",12417
